trip_id,route_id,service_id,trip_headsign,direction_id
94636,MB,invl_22_02.pex,Basauri,1
94637,MB,invl_22_02.pex,Kabiezes,0
94638,MB,invl_22_02.pex,Basauri,1
94639,MB,invl_22_02.pex,Kabiezes,0
94640,MB,invl_22_02.pex,Basauri,1
94641,MB,invl_22_02.pex,Kabiezes,0
94642,MB,invl_22_02.pex,Basauri,1
94643,MB,invl_22_02.pex,Kabiezes,0
94644,MB,invl_22_02.pex,Basauri,1
94645,MB,invl_22_02.pex,Kabiezes,0
94646,MB,invl_22_02.pex,Basauri,1
94647,MB,invl_22_02.pex,Etxebarri,1
94648,MB,invl_22_02.pex,Kabiezes,0
94649,MB,invl_22_02.pex,Basauri,1
94650,MB,invl_22_02.pex,Kabiezes,0
94651,MB,invl_22_02.pex,Basauri,1
94652,MB,invl_22_02.pex,Kabiezes,0
94653,MB,invl_22_02.pex,Etxebarri,1
94654,MB,invl_22_02.pex,Ibarbengoa,0
94655,MB,invl_22_02.pex,Etxebarri,1
94656,MB,invl_22_02.pex,Larrabasterra,0
124247,MB,invv_22_02.pex,Kabiezes,0
124248,MB,invv_22_02.pex,Basauri,1
124249,MB,invv_22_02.pex,Kabiezes,0
124250,MB,invv_22_02.pex,Basauri,1
124251,MB,invv_22_02.pex,Kabiezes,0
124252,MB,invv_22_02.pex,Basauri,1
124253,MB,invv_22_02.pex,Etxebarri,1
124254,MB,invv_22_02.pex,Ibarbengoa,0
124255,MB,invv_22_02.pex,Plentzia,0
120541,MB,invs_22_02.pex,Kabiezes,0
120542,MB,invs_22_02.pex,Basauri,1
120543,MB,invs_22_02.pex,Kabiezes,0
120544,MB,invs_22_02.pex,Basauri,1
120545,MB,invs_22_02.pex,Kabiezes,0
120546,MB,invs_22_02.pex,Basauri,1
120547,MB,invs_22_02.pex,Kabiezes,0
120548,MB,invs_22_02.pex,Basauri,1
120549,MB,invs_22_02.pex,Kabiezes,0
120550,MB,invs_22_02.pex,Basauri,1
120551,MB,invs_22_02.pex,Kabiezes,0
120552,MB,invs_22_02.pex,Basauri,1
120553,MB,invs_22_02.pex,Kabiezes,0
120554,MB,invs_22_02.pex,Basauri,1
120555,MB,invs_22_02.pex,Kabiezes,0
120556,MB,invs_22_02.pex,Basauri,1
120557,MB,invs_22_02.pex,Kabiezes,0
120558,MB,invs_22_02.pex,Basauri,1
120559,MB,invs_22_02.pex,Kabiezes,0
120560,MB,invs_22_02.pex,Basauri,1
120561,MB,invs_22_02.pex,Kabiezes,0
120562,MB,invs_22_02.pex,Basauri,1
120563,MB,invs_22_02.pex,Kabiezes,0
120564,MB,invs_22_02.pex,Basauri,1
120565,MB,invs_22_02.pex,Kabiezes,0
120566,MB,invs_22_02.pex,Basauri,1
120567,MB,invs_22_02.pex,Kabiezes,0
120568,MB,invs_22_02.pex,Etxebarri,1
120570,MB,invs_22_02.pex,Kabiezes,0
120571,MB,invs_22_02.pex,Basauri,1
120572,MB,invs_22_02.pex,Kabiezes,0
120573,MB,invs_22_02.pex,Basauri,1
120574,MB,invs_22_02.pex,Kabiezes,0
120575,MB,invs_22_02.pex,Basauri,1
120576,MB,invs_22_02.pex,Kabiezes,0
120577,MB,invs_22_02.pex,Basauri,1
120578,MB,invs_22_02.pex,Kabiezes,0
120579,MB,invs_22_02.pex,Basauri,1
120580,MB,invs_22_02.pex,Kabiezes,0
120581,MB,invs_22_02.pex,Basauri,1
120582,MB,invs_22_02.pex,Kabiezes,0
120583,MB,invs_22_02.pex,Basauri,1
120584,MB,invs_22_02.pex,Kabiezes,0
120585,MB,invs_22_02.pex,Basauri,1
120586,MB,invs_22_02.pex,Kabiezes,0
120587,MB,invs_22_02.pex,Basauri,1
120588,MB,invs_22_02.pex,Kabiezes,0
120589,MB,invs_22_02.pex,Basauri,1
120590,MB,invs_22_02.pex,Kabiezes,0
120591,MB,invs_22_02.pex,Basauri,1
120592,MB,invs_22_02.pex,Kabiezes,0
120593,MB,invs_22_02.pex,Basauri,1
120594,MB,invs_22_02.pex,Kabiezes,0
120595,MB,invs_22_02.pex,Basauri,1
